,timestamp,course_enrolled,heard_about_CCM_website,heard_about_CCM_social_media,heard_about_CCM_community_event,heard_about_CCM_family_friend,heard_about_CCM_current_student,heard_about_CCM_alumni,heard_about_CCM_high_school_teacher,heard_about_CCM_high_school_counselor,heard_about_CCM_in_app_ad,heard_about_CCM_employer,heard_about_CCM_billboard,heard_about_CCM_television,heard_about_CCM_radio,heard_about_CCM_other,impact_affordable_cost,impact_location_convenience,impact_choice_of_programs,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_college_reputation,impact_financial_aid,impact_scholarships,impact_small_class_sizes,impact_extra_curricular_opportunities,impact_accepted_transfer_credits,impact_negative_experience_other_college,impact_NJ_stars_program,impact_transfer_CCM_credits_4_year,impact_credit_in_high_school,participation_open_house,participation_instant_decision_day,participation_on_campus_info_session,participation_titans_tuesday_virtual_info_session,participation_women_who_dare,participation_regional_college_fair,participation_hs_sharetime_info_session,participation_challenger_program,participation_cybersecurity_program,participation_info_session_high_school,participation_campus_visit_high_school,participation_campus_visit_individual,participation_workforce_development_class,participation_corporate_training,participation_teen_arts_festival,participation_summer_camp_CCM,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competition,impact_afterschool_computing_program,impact_summer_computing_program,impact_ap_computing_class,impact_dual_enrollment_computing_class,impact_family_friend_influence,impact_family_friend_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_ccm_student,impact_work_experience,impact_other,current_degree_program,motivation_get_job_computing,motivation_transfer_bachelors,motivation_transfer_credits_hs,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_keep_current_tech,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,info_source_hs_counselor,info_source_hs_teacher,info_source_ccm_it_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_ccm_workforce_dev,info_source_nj_workforce_dev,info_source_other,first_choice_or_major_change,interest_more_computing_classes,explain_interest_computing_classes,gender,race_ethnicity,Age
0,2024/09/09 12:33:58 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,1,1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,2,Quite difficult and I do not see myself using it in the future,Man,White/Caucasian,21-24
1,2024/09/09 6:00:11 PM AST,,No,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,Don't recall,0,0,0,-1,,-1,0,0,-1,-1,-1,,,-1,-1,,Yes,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Not Sure,,,,,,,,,,,,,,1,Game Development,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,First Choice,,,Man,Hispanic or Latino;White/Caucasian;Multi-Racial,18 and younger
2,2024/09/10 9:00:12 AM AST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,1,0,0,-1,1,0,1,0,0,0,0,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,1,0,0,-1,-1,1,1,1,0,0,0,-1,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,First Choice,,,Man,Hispanic or Latino;Asian,18 and younger
3,2024/09/10 12:34:53 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,1,1,1,0,1,0,0,0,0,-1,0,0,-1,1,1,-1,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,3,"It all depends on what classes are required for my final semester, but I might not be looking back to this class overall.",Man,Hispanic or Latino,19-20
4,2024/09/10 3:06:47 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,Computer Science,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Don't recall,Don't recall,No,No,No,Yes,No,No,Yes,First Choice,,,Man,Asian,19-20
5,2024/09/10 3:07:28 PM AST,CMP 128 Computer Science I,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,Undecided,,,,,,,,,,,,,,,,,,,,,,,4,I work with Schneider Electric PLC Programming software on a daily basis and some of what I need to learn is based on basic Computer programming language,Man,White/Caucasian,21-24
6,2024/09/10 3:07:36 PM AST,CMP 128 Computer Science I,Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,1,1,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business,,,,,,,,,,,,,,,,,,,,,,,2,This it the only computing class I would need to take to complete my degree.,Man,Asian,19-20
7,2024/09/10 3:07:42 PM AST,CMP 128 Computer Science I,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,1,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Undecided,,,,,,,,,,,,,,,,,,,,,,,3,,Woman,Asian,19-20
8,2024/09/10 3:07:51 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,1,-1,-1,-1,-1,0,-1,1,1,1,-1,1,-1,1,1,-1,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,-1,0,1,-1,-1,-1,0,-1,-1,1,0,-1,1,-1,Technical Studies,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,First Choice,,,Woman,Hispanic or Latino,18 and younger
9,2024/09/10 3:08:06 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
10,2024/09/10 3:08:12 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,Information Security,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Business,,,Man,Hispanic or Latino,19-20
11,2024/09/10 3:08:18 PM AST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1,1,1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,electrical engineering technology,,,,,,,,,,,,,,,,,,,,,,,1,it would not really benefit me to take another while there are other classes that i need to take to finish my degree,Man,Hispanic or Latino,18 and younger
12,2024/09/10 3:08:20 PM AST,CMP 128 Computer Science I,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,1,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Hispanic or Latino;White/Caucasian,18 and younger
13,2024/09/10 3:08:38 PM AST,CMP 128 Computer Science I,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,1,0,0,-1,0,-1,0,0,-1,1,0,1,-1,-1,0,-1,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Information Security,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Engineering,,,Man,Hispanic or Latino,25-34
14,2024/09/10 3:08:43 PM AST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Business,,,Man,Asian,25-34
15,2024/09/10 3:08:50 PM AST,CMP 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,-1,-1,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,Computer Science,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,First Choice,,,Man,Black/African American,18 and younger
16,2024/09/10 3:09:36 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,1,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,0,-1,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,4,It is beneficial to everyday life and good skill to have,Man,White/Caucasian,19-20
17,2024/09/10 3:09:48 PM AST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,1,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,0,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
18,2024/09/10 3:11:07 PM AST,CMP 128 Computer Science I,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,5,Strengthen my skills,Man,Black/African American,35-64
19,2024/09/10 3:15:10 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,1,1,1,0,0,0,1,1,0,0,0,1,1,-1,1,-1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,IT,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Cybersecurity,,,Man,Black/African American,21-24
20,2024/09/10 5:17:34 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Data Analytics and Statistics,,,Man,Choose not to reply,18 and younger
21,2024/09/10 5:24:45 PM AST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Yes,No,Don't recall,No,Yes,No,No,No,No,No,Don't recall,0,1,,,1,,,1,,,,,,1,1,,No,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,0,1,0,0,,,,,,,,,,1,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Don't recall,No,No,No,No,No,First Choice,,,Woman,Asian;Native Hawaiian/Other Pacific Islander,19-20
22,2024/09/10 7:17:19 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,0,1,1,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,1,,1,,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,,,,Man,Hispanic or Latino,25-34
23,2024/09/10 7:17:55 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,1,1,0,0,1,-1,1,-1,-1,0,0,1,-1,-1,,-1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technical Studies,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Engineering,,,Man,White/Caucasian,25-34
24,2024/09/10 7:18:04 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,Non Degree Seeking,,,,,,,,,,,,,,,,,,,,,,,2,I am only taking classes at ccm that will give me credit at the University of Miami. I'm taking these classes as STEM credits because I need a STEM credits at miami.,Man,White/Caucasian,18 and younger
25,2024/09/10 7:18:59 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,1,1,1,1,-1,0,1,-1,1,-1,1,1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,Non Degree Seeking,,,,,,,,,,,,,,,,,,,,,,,3,Computing is a great class just not something I would like to peruse as a career.,Woman,Hispanic or Latino,19-20
